,0
2764,23
2765,59
2766,21
2767,21
2768,25
2769,41
2770,19
2771,82
2772,35
2773,27
2774,45
2775,41
2776,49
2777,29
2778,46
2779,47
2780,25
2781,45
2782,68
2783,31
2784,23
2785,41
2786,36
2787,39
2788,18
2789,45
2790,40
2791,30
2792,60
2793,32
2794,36
2795,19
2796,71
2797,20
2798,25
2799,65
2800,31
2801,15
2802,45
2803,60
2804,34
2805,32
2806,23
2807,72
2808,71
2809,51
2810,48
2811,33
2812,23
2813,47
2814,28
2815,85
2816,25
2817,40
2818,49
2819,32
2820,33
2821,38
2822,21
2823,42
2824,28
2825,35
2826,77
2827,45
2828,97
2829,19
2830,34
2831,76
2832,43
2833,51
2834,25
2835,21
2836,59
2837,56
2838,26
2839,50
2840,35
2841,16
2842,63
2843,47
2844,28
2845,11
2846,19
2847,40
2848,34
2849,23
2850,47
2851,68
2852,60
2853,35
2854,38
2855,41
2856,42
2857,34
2858,36
2859,21
2860,9
2861,69
2862,29
2863,71
2864,29
2865,16
2866,40
2867,48
2868,39
2869,14
2870,41
2871,55
2872,45
2873,44
2874,70
2875,31
2876,35
2877,42
2878,41
2879,37
2880,85
2881,80
2882,18
2883,20
2884,35
2885,23
2886,21
2887,23
2888,23
2889,79
2890,38
2891,12
2892,35
2893,60
2894,19
2895,26
2896,123
2897,68
2898,38
2899,48
2900,74
2901,60
2902,41
2903,26
2904,38
2905,55
2906,68
2907,15
2908,40
2909,29
2910,47
2911,14
2912,46
2913,57
2914,48
2915,42
2916,16
2917,28
2918,36
2919,26
2920,47
2921,29
2922,22
2923,20
2924,23
2925,40
2926,121
2927,34
2928,18
2929,59
2930,27
2931,39
2932,31
2933,50
2934,43
2935,34
2936,37
2937,53
2938,23
2939,55
2940,23
2941,42
2942,38
2943,6
2944,53
2945,63
2946,29
2947,29
2948,16
2949,17
2950,44
2951,35
2952,56
2953,21
2954,21
2955,40
2956,43
2957,51
2958,40
2959,8
2960,36
2961,87
2962,20
2963,19
2964,20
2965,32
2966,42
2967,28
2968,53
2969,85
2970,46
2971,35
2972,28
2973,24
2974,60
2975,39
2976,52
2977,30
2978,50
2979,47
2980,31
2981,35
2982,34
2983,40
2984,24
2985,55
2986,37
2987,55
2988,24
2989,39
2990,60
2991,22
2992,131
2993,86
2994,49
2995,46
